recall	precision
1.0	0.0017314487632508833
1.0	0.001731479354758918
1.0	0.0017315099473479629
1.0	0.0017315405410180751
1.0	0.0017315711357693124
1.0	0.0017316017316017316
1.0	0.0017316323285153903
1.0	0.0017316629265103458
1.0	0.0017316935255866554
1.0	0.0017317241257443763
1.0	0.001731754726983566
1.0	0.0017317853293042818
1.0	0.0017318159327065809
1.0	0.0017318465371905208
1.0	0.0017318771427561588
1.0	0.0017319077494035522
1.0	0.0017319383571327584
1.0	0.0017319689659438346
1.0	0.0017319995758368386
1.0	0.0017320301868118274
1.0	0.0017320607988688583
1.0	0.0017320914120079888
1.0	0.0017321220262292763
1.0	0.0017321526415327783
1.0	0.001732183257918552
1.0	0.001732213875386655
1.0	0.0017322444939371442
1.0	0.0017322751135700775
1.0	0.0017323057342855123
1.0	0.0017323363560835057
1.0	0.0017323669789641152
1.0	0.0017323976029273984
1.0	0.0017324282279734125
1.0	0.001732458854102215
1.0	0.0017324894813138634
1.0	0.001732520109608415
1.0	0.0017325507389859274
1.0	0.001732581369446458
1.0	0.001732612000990064
1.0	0.001732642633616803
1.0	0.0017326732673267327
1.0	0.0017327039021199102
1.0	0.001732734537996393
1.0	0.0017327651749562388
1.0	0.0017327958129995048
1.0	0.0017328264521262488
1.0	0.001732857092336528
1.0	0.0017328877336303997
1.0	0.0017329183760079218
1.0	0.0017329490194691517
1.0	0.0017329796640141468
1.0	0.0017330103096429646
1.0	0.0017330409563556623
1.0	0.0017330716041522982
1.0	0.0017331022530329288
1.0	0.0017331329029976125
1.0	0.0017331635540464064
1.0	0.0017331942061793678
1.0	0.0017332248593965548
1.0	0.0017332555136980244
1.0	0.0017332861690838345
1.0	0.0017333168255540424
1.0	0.0017333474831087057
1.0	0.001733378141747882
1.0	0.0017334088014716287
1.0	0.0017334394622800036
1.0	0.001733470124173064
1.0	0.0017335007871508677
1.0	0.001733531451213472
1.0	0.0017335621163609347
1.0	0.0017335927825933132
1.0	0.0017336234499106653
1.0	0.0017336541183130484
1.0	0.00173368478780052
1.0	0.001733715458373138
1.0	0.0017337461300309597
1.0	0.0017337768027740428
1.0	0.001733807476602445
1.0	0.0017338381515162237
1.0	0.0017338688275154368
1.0	0.0017338995046001415
1.0	0.0017339301827703959
1.0	0.0017339608620262571
1.0	0.0017339915423677831
1.0	0.0017340222237950315
1.0	0.0017340529063080599
1.0	0.0017340835899069258
1.0	0.0017341142745916868
1.0	0.001734144960362401
1.0	0.0017341756472191254
1.0	0.0017342063351619183
1.0	0.0017342370241908369
1.0	0.0017342677143059389
1.0	0.0017342984055072823
1.0	0.0017343290977949245
1.0	0.0017343597911689231
1.0	0.001734390485629336
1.0	0.0017344211811762208
1.0	0.0017344825755296366
1.0	0.001734513274336283
1.0	0.0017345439742296324
1.0	0.0017345746752097419
1.0	0.0017346053772766695
1.0	0.001734636080430473
1.0	0.00173466678467121
1.0	0.001734697489998938
1.0	0.001734728196413715
1.0	0.0017347589039155987
1.0	0.0017347896125046469
1.0	0.001734820322180917
1.0	0.001734851032944467
1.0	0.0017348817447953547
1.0	0.0017349124577336378
1.0	0.001734943171759374
1.0	0.001734973886872621
1.0	0.0017350046030734367
1.0	0.0017350353203618787
1.0	0.001735066038738005
1.0	0.0017350967582018732
1.0	0.001735127478753541
1.0	0.0017351582003930664
1.0	0.001735188923120507
1.0	0.0017352196469359207
1.0	0.0017352503718393653
1.0	0.0017352810978308985
1.0	0.0017353118249105782
1.0	0.0017353425530784623
1.0	0.0017353732823346083
1.0	0.0017354040126790742
1.0	0.0017354347441119178
1.0	0.001735465476633197
1.0	0.0017354962102429695
1.0	0.0017355269449412932
1.0	0.001735557680728226
1.0	0.0017355884176038254
1.0	0.0017356191555681496
1.0	0.0017356498946212563
1.0	0.0017356806347632037
